dcr_regiao,id_projeto,nom_projeto,cd_talhao,data_cto,dcr_operacao,flag_cto_executado,data_inicio_operacao,dcr_municipio,dcr_estado,vlr_area
BRACELL BA LESTE,8167,TIMBOZINHO,026-01,2024-11-25,CORTE HARVESTER,S,2024-11-20,Esplanada,BAHIA,3.85
BRACELL SP,0332,SANTA BRANCA,004-01,2024-10-23,CORTE HARVESTER,S,2024-10-11,Echaporã,SÃO PAULO,1.81
BRACELL SP,0338,SANTO ANTÔNIO VII,008-01,2024-03-06,CORTE HARVESTER,S,2024-03-03,Getulina,SÃO PAULO,9.08
BRACELL SP,0443,SANTA EMÍLIA II - GLEBA A,013-01,2025-02-09,CORTE HARVESTER,S,2025-02-03,Marília,SÃO PAULO,8.19
BRACELL SP,0325,SÃO DOMINGOS,051-01,2024-07-29,CORTE HARVESTER,S,2024-07-27,Presidente Alves,SÃO PAULO,45.13
BRACELL SP,0332,SANTA BRANCA,007-01,2024-10-16,CORTE HARVESTER,S,2024-10-10,Echaporã,SÃO PAULO,1.81
BRACELL SP,0325,SÃO DOMINGOS,043-01,2024-07-30,CORTE HARVESTER,S,2024-07-28,Presidente Alves,SÃO PAULO,45.13
BRACELL BA LESTE,8032,CARDOSO,032-01,2024-11-22,CORTE HARVESTER,S,2024-11-17,Esplanada,BAHIA,17.1
BRACELL SP,0428,SÃO MANOEL IV,002-01,2025-03-01,CORTE HARVESTER,S,2025-02-22,Presidente Alves,SÃO PAULO,31.37
BRACELL SP,0515,SÃO SEBASTIÃO DO BELMONT,002-01,2025-05-29,CORTE HARVESTER,S,2025-05-17,Presidente Alves,SÃO PAULO,8.07
BRACELL SP,0428,SÃO MANOEL IV,304-01,2025-02-27,CORTE HARVESTER,S,2025-02-24,Presidente Alves,SÃO PAULO,31.37
BRACELL SP,0428,SÃO MANOEL IV,303-01,2025-02-28,CORTE HARVESTER,S,2025-02-25,Presidente Alves,SÃO PAULO,31.37
BRACELL MG,5010,NOVAES,010-01,2025-05-22,CORTE HARVESTER,S,2025-05-17,Uberlândia,MINAS GERAIS,162.14
BRACELL SP,0428,SÃO MANOEL IV,004-01,2025-02-27,CORTE HARVESTER,S,2025-02-24,Presidente Alves,SÃO PAULO,31.37
