dcr_regiao,id_projeto,nom_projeto,cd_talhao,data_cto,dcr_operacao,flag_cto_executado,data_inicio_operacao,dcr_municipio,dcr_estado,vlr_area
BRACELL SP,0347,VALE VERDE,027-01,2024-12-24,BALDEIO FORWARDER,S,2024-12-21,Santa Cruz do Rio Pardo,SÃO PAULO,8.21
BRACELL SP,0347,VALE VERDE,025-01,2024-12-23,BALDEIO FORWARDER,S,2024-12-20,Santa Cruz do Rio Pardo,SÃO PAULO,8.21
BRACELL SP,0351,SANTA MARIANA II,011-01,2025-01-24,BALDEIO FORWARDER,S,2025-01-16,Marília,SÃO PAULO,11.71
BRACELL SP,0351,SANTA MARIANA II,009-01,2025-01-25,BALDEIO FORWARDER,S,2025-01-22,Marília,SÃO PAULO,11.71
BRACELL SP,0351,SANTA MARIANA II,005-01,2025-01-25,BALDEIO FORWARDER,S,2025-01-20,Marília,SÃO PAULO,11.71
BRACELL SP,0351,SANTA MARIANA II,014-01,2025-02-01,BALDEIO FORWARDER,S,2025-01-24,Marília,SÃO PAULO,11.71
BRACELL SP,0378,USINA PAREDÃO,067-01,,BALDEIO FORWARDER,N,,Oriente,SÃO PAULO,1.35
BRACELL SP,0351,SANTA MARIANA II,008-01,2025-01-24,BALDEIO FORWARDER,S,2025-01-21,Marília,SÃO PAULO,11.71
BRACELL SP,0378,USINA PAREDÃO,120-01,,BALDEIO FORWARDER,N,,Oriente,SÃO PAULO,1.35
BRACELL SP,0378,USINA PAREDÃO,614-01,,BALDEIO FORWARDER,N,,Oriente,SÃO PAULO,1.35
BRACELL SP,0351,SANTA MARIANA II,004-01,2025-01-21,BALDEIO FORWARDER,S,2025-01-18,Marília,SÃO PAULO,11.71
BRACELL SP,0378,USINA PAREDÃO,011-01,,BALDEIO FORWARDER,N,2025-06-13,Oriente,SÃO PAULO,1.35
BRACELL SP,0352,JAMAICA,003-01,2025-01-23,BALDEIO FORWARDER,S,2025-01-20,Lucianópolis,SÃO PAULO,2.71
BRACELL SP,0352,JAMAICA,004-01,2025-01-21,BALDEIO FORWARDER,S,2025-01-19,Lucianópolis,SÃO PAULO,2.71
BRACELL SP,0352,JAMAICA,007-01,2025-01-20,BALDEIO FORWARDER,S,2025-01-18,Lucianópolis,SÃO PAULO,2.71
BRACELL SP,0352,JAMAICA,002-01,2025-01-24,BALDEIO FORWARDER,S,2025-01-21,Lucianópolis,SÃO PAULO,2.71
BRACELL SP,0352,JAMAICA,006-01,2025-01-21,BALDEIO FORWARDER,S,2025-01-19,Lucianópolis,SÃO PAULO,2.71
BRACELL SP,0352,JAMAICA,010-01,2025-01-20,BALDEIO FORWARDER,S,2025-01-17,Lucianópolis,SÃO PAULO,2.71
BRACELL SP,0352,JAMAICA,011-01,2025-01-22,BALDEIO FORWARDER,S,2025-01-16,Lucianópolis,SÃO PAULO,2.71
BRACELL SP,0352,JAMAICA,005-01,2025-01-22,BALDEIO FORWARDER,S,2025-01-21,Lucianópolis,SÃO PAULO,2.71
BRACELL SP,0352,JAMAICA,008-01,2025-01-27,BALDEIO FORWARDER,S,2025-01-23,Lucianópolis,SÃO PAULO,2.71
BRACELL SP,0353,ARAGUAIA,004-01,2025-02-18,BALDEIO FORWARDER,S,2025-02-15,Lucianópolis,SÃO PAULO,45.46
BRACELL SP,0353,ARAGUAIA,003-01,2025-02-18,BALDEIO FORWARDER,S,2025-02-14,Lucianópolis,SÃO PAULO,45.46
BRACELL SP,0353,ARAGUAIA,001-01,2025-02-19,BALDEIO FORWARDER,S,2025-01-20,Lucianópolis,SÃO PAULO,45.46
BRACELL SP,0353,ARAGUAIA,007-01,2025-02-17,BALDEIO FORWARDER,S,2025-02-13,Lucianópolis,SÃO PAULO,45.46
BRACELL SP,0354,CANDEIAS,003-01,2025-02-15,BALDEIO FORWARDER,S,2025-02-06,Lucianópolis,SÃO PAULO,14.4
BRACELL SP,0354,CANDEIAS,001-01,2025-02-15,BALDEIO FORWARDER,S,2025-02-10,Lucianópolis,SÃO PAULO,14.4
BRACELL SP,0354,CANDEIAS,002-01,2025-02-15,BALDEIO FORWARDER,S,2025-02-10,Lucianópolis,SÃO PAULO,14.4
BRACELL SP,0354,CANDEIAS,004-01,2025-02-12,BALDEIO FORWARDER,S,2025-02-09,Lucianópolis,SÃO PAULO,14.4
BRACELL SP,0354,CANDEIAS,010-01,2025-02-15,BALDEIO FORWARDER,S,2025-02-12,Lucianópolis,SÃO PAULO,14.4
BRACELL SP,0354,CANDEIAS,011-01,2025-02-15,BALDEIO FORWARDER,S,2025-02-05,Lucianópolis,SÃO PAULO,14.4
BRACELL SP,0378,USINA PAREDÃO,313-01,,BALDEIO FORWARDER,N,,Oriente,SÃO PAULO,1.35
BRACELL SP,0354,CANDEIAS,009-01,2025-02-15,BALDEIO FORWARDER,S,2025-02-12,Lucianópolis,SÃO PAULO,14.4
BRACELL SP,0354,CANDEIAS,013-01,2025-02-07,BALDEIO FORWARDER,S,2025-02-04,Lucianópolis,SÃO PAULO,14.4
BRACELL SP,0290,ALAMBARI II,015-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,021-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,017-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0371,MANGA LARGA,011-01,2024-11-03,BALDEIO FORWARDER,S,2024-11-01,Getulina,SÃO PAULO,22.85
BRACELL SP,0371,MANGA LARGA,007-01,2024-11-13,BALDEIO FORWARDER,S,2024-11-02,Getulina,SÃO PAULO,22.85
BRACELL SP,0371,MANGA LARGA,015-01,2024-11-28,BALDEIO FORWARDER,S,2024-11-28,Getulina,SÃO PAULO,22.85
BRACELL SP,0371,MANGA LARGA,004-01,2024-11-14,BALDEIO FORWARDER,S,2024-11-03,Getulina,SÃO PAULO,22.85
BRACELL SP,0371,MANGA LARGA,012-01,2024-11-02,BALDEIO FORWARDER,S,2024-10-31,Getulina,SÃO PAULO,22.85
BRACELL SP,0371,MANGA LARGA,005-01,2024-11-13,BALDEIO FORWARDER,S,2024-10-29,Getulina,SÃO PAULO,22.85
BRACELL SP,0371,MANGA LARGA,014-01,2024-10-31,BALDEIO FORWARDER,S,2024-10-29,Getulina,SÃO PAULO,22.85
BRACELL SP,0290,ALAMBARI II,003-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,023-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0367,SANTA CATARINA,007-01,2024-11-29,BALDEIO FORWARDER,S,2024-11-27,Getulina,SÃO PAULO,10.14
BRACELL SP,0367,SANTA CATARINA,006-01,2024-11-29,BALDEIO FORWARDER,S,2024-11-27,Getulina,SÃO PAULO,10.14
BRACELL SP,0290,ALAMBARI II,022-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0367,SANTA CATARINA,005-01,2024-11-28,BALDEIO FORWARDER,S,2024-11-27,Getulina,SÃO PAULO,10.14
BRACELL SP,0367,SANTA CATARINA,008-01,2024-11-30,BALDEIO FORWARDER,S,2024-11-27,Getulina,SÃO PAULO,10.14
BRACELL SP,0290,ALAMBARI II,019-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,014-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,020-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,026-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,002-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0497,ICATU,004-01,2025-04-24,BALDEIO FORWARDER,S,2025-04-09,Cafelândia,SÃO PAULO,3.92
BRACELL SP,0290,ALAMBARI II,018-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,016-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,027-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,024-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0596,SÃO JOSÉ IX,007-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,6.99
BRACELL SP,2000,JANDAIA,003-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,1.6
BRACELL SP,2000,JANDAIA,004-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,1.6
BRACELL SP,0290,ALAMBARI II,004-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0290,ALAMBARI II,011-01,,BALDEIO FORWARDER,N,,Anhembi,SÃO PAULO,11.93
BRACELL SP,0428,SÃO MANOEL IV,003-01,2025-04-15,BALDEIO FORWARDER,S,2025-04-10,Presidente Alves,SÃO PAULO,0.18
BRACELL SP,0428,SÃO MANOEL IV,004-01,2025-04-15,BALDEIO FORWARDER,S,2025-04-10,Presidente Alves,SÃO PAULO,0.18
BRACELL SP,2000,JANDAIA,005-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,1.6
BRACELL SP,2000,JANDAIA,001-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,1.6
BRACELL SP,2000,JANDAIA,006-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,1.6
BRACELL SP,0590,ESTÂNCIA ALMEIDA,002-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,0.64
BRACELL SP,2000,JANDAIA,008-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,1.6
BRACELL SP,0590,ESTÂNCIA ALMEIDA,001-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,0.64
BRACELL SP,2000,JANDAIA,002-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,1.6
BRACELL SP,0596,SÃO JOSÉ IX,001-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,6.99
